event_id,timestamp,host,source_type,event_type,severity,source_ip,destination_ip,destination_port,request_method,status_code,payload,session_id
91cc4159-4bb5-4623-b57f-62357919f328,2026-06-05T15:56:17,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_574300
403fdeba-5abd-4b95-9cd2-b44db32a09ef,2026-06-05T15:56:17,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.18,10.0.0.30,8080,POST,204,profile update,sess_827725
49b94e06-5161-4bf8-9d6f-2e7ad27327a9,2026-06-05T15:56:18,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_928823
66e3da3f-fbaf-4064-8786-eea598261a16,2026-06-05T15:56:18,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.153,10.0.0.31,8080,POST,204,role unchanged,sess_476310
95698802-ec07-4d3c-8875-092620b79c61,2026-06-05T15:56:19,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_289576
0961af3e-8219-40ec-bcc7-5d9cb07ac298,2026-06-05T15:56:19,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.205,10.0.0.40,443,,200,ntp sync,sess_592697
218cbc05-0c09-4f4f-853c-80ecee10c429,2026-06-05T15:56:20,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_944092
aaff58dd-a10c-4182-bc3e-b5f5c28b010e,2026-06-05T15:56:20,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.99,10.0.0.31,8080,PUT,201,profile update,sess_526059
fac55853-481a-43c6-b834-0a46bdb37d4f,2026-06-05T15:56:21,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_843184
4ecbe44d-72df-4408-a5d0-127682713e03,2026-06-05T15:56:21,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.190,10.0.0.20,22,,200,interactive login,sess_427437
ad10684f-e049-434f-9270-dc8d014c0567,2026-06-05T15:56:22,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_301185
c5c3ed80-d6d8-4625-b8cd-d58f9de625ff,2026-06-05T15:56:22,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.45,10.0.0.40,443,,200,tls session,sess_509418
b0e727b2-8fbe-4b7d-83fc-27eec9e47f98,2026-06-05T15:56:23,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_466183
e5394791-33ef-4405-9007-d59df9ef7c67,2026-06-05T15:56:23,app-01,APPLICATION,USER_UPDATE,LOW,10.0.1.67,10.0.0.30,8080,PATCH,204,metadata updated,sess_655349
0b480861-b7e6-4ba5-bab6-154f091a5ba7,2026-06-05T15:56:24,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_764713
1796d243-dda3-46a9-95cf-a6dfdc6ce9e7,2026-06-05T15:56:24,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.161,10.0.0.20,22,,200,interactive login,sess_211540
f637a7bb-4b9e-4cd3-8e4d-e0ff78eca5fa,2026-06-05T15:56:25,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_469540
b59ba0cd-3cb5-4a03-92c5-3aa19e1a2df8,2026-06-05T15:56:25,web-02,WEB,PAGE_VISIT,LOW,10.0.1.98,10.0.0.11,80,GET,204,/dashboard,sess_471756
612dff5e-16cf-45ec-b2e8-02d26cf18dc9,2026-06-05T15:56:26,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_510911
6cc92953-ab3c-49dc-9967-d9e959aff2bc,2026-06-05T15:56:26,app-01,APPLICATION,USER_UPDATE,LOW,10.0.1.193,10.0.0.30,8080,POST,200,metadata updated,sess_294360
d55e5bd6-4418-45a0-82a9-b179242338cf,2026-06-05T15:56:27,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_983611
49bd66ae-9f2c-4307-a801-691291cba0a0,2026-06-05T15:56:27,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.72,10.0.0.40,443,,200,dns query,sess_377932
e1506e34-fb82-49cb-80a2-7a050698df84,2026-06-05T15:56:28,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_852780
9fbee8e5-e150-47b2-81b0-4d1488f477b5,2026-06-05T15:56:28,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.109,10.0.0.31,8080,POST,200,preferences saved,sess_611172
3a46b63e-3ec1-4cdd-b129-7be2ea66ab5f,2026-06-05T15:56:29,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_729089
bfff0400-56b2-446b-b963-93361fc18841,2026-06-05T15:56:29,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.26,10.0.0.40,53,,200,ntp sync,sess_806491
55224508-4fa7-4401-9a46-79830a3389bc,2026-06-05T15:56:30,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_476118
a4ad4a63-fb67-4310-a31b-da28c0ae4553,2026-06-05T15:56:30,web-02,WEB,PAGE_VISIT,LOW,10.0.1.181,10.0.0.11,443,GET,200,/login,sess_842851
ffee73b2-514b-441e-9ad0-711db0beda78,2026-06-05T15:56:31,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_498675
919fb878-c728-4423-b05f-d52117841df8,2026-06-05T15:56:31,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.12,10.0.0.31,8080,GET,204,profile update,sess_764598
da789b2d-2fa4-428a-9889-107edfdd6b37,2026-06-05T15:56:32,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_190000
4f770239-aa3f-4a39-a328-3486e2d10edb,2026-06-05T15:56:32,web-02,WEB,PAGE_VISIT,LOW,10.0.1.124,10.0.0.11,443,POST,200,/,sess_949185
ab65fb16-e91c-430c-82d2-0c7b38a37b65,2026-06-05T15:56:33,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_615610
a0bc4dc1-8dc4-4e64-9f7c-47c67d9c8b87,2026-06-05T15:56:33,web-01,WEB,PAGE_VISIT,LOW,10.0.1.58,10.0.0.10,80,GET,302,/login,sess_472548
4ef63410-9ca5-4129-aca2-65c858624197,2026-06-05T15:56:34,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_770556
b95f26d9-8942-4639-80a7-af273460a2ef,2026-06-05T15:56:34,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.90,10.0.0.1,22,,200,known route,sess_995303
c929638c-92d9-4e7c-a995-65e4fd1df9da,2026-06-05T15:56:35,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_615524
2ade1e32-962e-4908-ab5f-e8f95ac7d006,2026-06-05T15:56:35,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.63,10.0.0.20,22,,200,service account login,sess_819585
3e6d5bce-a50c-4f44-93d0-5e1a3d969197,2026-06-05T15:56:36,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_207965
1791eb5b-0c41-40fe-acd3-192016ecb270,2026-06-05T15:56:36,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.73,10.0.0.40,53,,200,snmp poll,sess_929280
0ac25dc2-ded8-4574-a3fe-dc1465cbd20c,2026-06-05T15:56:37,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_255905
463e07fa-1c70-4f15-838c-7e308238cf4b,2026-06-05T15:56:37,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.185,10.0.0.1,443,,200,stateful allow,sess_509618
57fa85b7-3bb7-44b4-869a-d37abd4b6ec6,2026-06-05T15:56:38,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_870902
0c0aadc8-6c1b-4638-a211-4c7df2bf27fc,2026-06-05T15:56:38,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.6,10.0.0.30,8080,POST,200,profile update,sess_227284
bb2fecb9-170f-4728-a781-d27fcca954b0,2026-06-05T15:56:39,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_888342
3de7efe4-ee88-44d3-a05e-a471ae5cab48,2026-06-05T15:56:39,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.98,10.0.0.1,22,,200,known route,sess_906141
a39bb433-8e67-47d9-b4df-5dadfc58cfed,2026-06-05T15:56:40,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_944298
ab41b2b3-5354-46f8-b232-41fda466bab2,2026-06-05T15:56:40,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.101,10.0.0.30,8080,PUT,204,profile update,sess_162265
1713d628-b56a-43d2-b30a-df01f4ffffe7,2026-06-05T15:56:41,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_546987
a02f5d18-8bc5-4f32-9ded-3248b14c482d,2026-06-05T15:56:41,web-01,WEB,PAGE_VISIT,LOW,10.0.1.26,10.0.0.10,80,POST,200,/dashboard,sess_396623
9ace8d45-9889-4a26-bfa3-8d8fad5f36c9,2026-06-05T15:56:42,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_116088
ff2a2c10-735e-48a4-845b-5fca95dc7404,2026-06-05T15:56:42,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.98,10.0.0.1,443,,200,stateful allow,sess_795671
c1c8ac59-faa3-42fa-9eb1-627f92afca5c,2026-06-05T15:56:43,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_182091
f7dd6763-39ba-4c96-966d-9aec9be0d32e,2026-06-05T15:56:43,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.135,10.0.0.20,22,,200,interactive login,sess_884836
a4c226d3-ac39-450d-acfb-4f4c481a74d8,2026-06-05T15:56:44,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_338471
8f5b0dac-5651-4f15-9bdb-b10dc011cd58,2026-06-05T15:56:44,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.85,10.0.0.31,8080,POST,204,preferences saved,sess_962265
8c889b92-3997-44ad-9d83-ba3731ffb2fb,2026-06-05T15:56:45,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_303606
ed54ebf4-df8b-418c-98ec-209620dc67c3,2026-06-05T15:56:45,web-02,WEB,PAGE_VISIT,LOW,10.0.1.116,10.0.0.11,443,GET,301,/,sess_485760
6a9f6560-3772-408f-b10f-c191f6c724c9,2026-06-05T15:56:46,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_386284
92ee4bb9-4959-4e48-a3a9-65b871bc9070,2026-06-05T15:56:46,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.135,10.0.0.1,22,,200,policy allow,sess_292005
32e69daa-ff18-4a12-b64b-ffe827fea70d,2026-06-05T15:56:47,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_666104
99133793-959d-4806-962c-961fbbbee2a4,2026-06-05T15:56:47,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.44,10.0.0.1,443,,200,stateful allow,sess_867728
0ed7fea6-2690-46ff-a4fd-fdafba555860,2026-06-05T15:56:48,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_823012
ef2598ec-bc30-4696-81ab-0eb8958c5e97,2026-06-05T15:56:48,app-01,APPLICATION,USER_UPDATE,LOW,10.0.1.8,10.0.0.30,8080,PATCH,200,role unchanged,sess_790747
e2e8569e-5575-4d2e-90eb-bfd562279583,2026-06-05T15:56:49,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_140551
6e59c395-7449-44e2-bde9-104898f5f1ea,2026-06-05T15:56:49,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.200,10.0.0.40,443,,200,dns query,sess_770747
12b37065-de69-46cd-9115-4feb77657f37,2026-06-05T15:56:50,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_960024
b3784bc7-f7ad-4844-97bf-24516a7bc263,2026-06-05T15:56:50,auth-02,AUTH,LOGIN_SUCCESS,LOW,10.0.1.185,10.0.0.21,22,,200,service account login,sess_473838
d0185b28-fc8a-44c4-9b93-7a98a86d3908,2026-06-05T15:56:51,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_282167
38d7939f-3b99-4b5d-8f7f-da59dd0cfa60,2026-06-05T15:56:51,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.161,10.0.0.30,8080,PUT,201,profile update,sess_845137
1a5e5c2f-d588-437a-b007-845dd3d745ca,2026-06-05T15:56:52,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_545704
449ebd5e-b28c-4680-88e3-8aaae27ec5dc,2026-06-05T15:56:52,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.137,10.0.0.1,8080,,200,known route,sess_235056
b4758eb3-96bb-4f0e-8d47-a2010b03270a,2026-06-05T15:56:53,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_732253
07acd15f-5bd3-496e-b4ba-479c55b590a6,2026-06-05T15:56:53,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.215,10.0.0.40,443,,200,dns query,sess_284954
b67d5aa8-6e1c-4a89-8808-cacadd53bb53,2026-06-05T15:56:54,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_545788
23c2f670-50f5-4d08-aeb2-0ca2ecb07276,2026-06-05T15:56:54,web-02,WEB,PAGE_VISIT,LOW,10.0.1.98,10.0.0.11,80,POST,200,/api/health,sess_582012
5abffb7a-d4f4-45ae-baf0-1d8098121ff2,2026-06-05T15:56:55,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_844031
322a8c88-fb58-4f8d-9dad-c6871d4e1f5e,2026-06-05T15:56:55,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.136,10.0.0.40,161,,200,ntp sync,sess_999373
a239d966-919b-4547-ab36-66cfbeda30de,2026-06-05T15:56:56,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_712880
533a33e2-b84d-448b-aea0-b8fd2a531f83,2026-06-05T15:56:56,net-01,NETWORK,NORMAL_TRAFFIC,LOW,10.0.1.62,10.0.0.40,123,,200,tls session,sess_508330
63b297d3-ec71-4191-99fd-6f8cc83c76d8,2026-06-05T15:56:57,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_164925
d5d6645f-9f44-43ef-888d-c93b62c42eb4,2026-06-05T15:56:57,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.50,10.0.0.31,8080,PUT,201,inventory query,sess_938786
12d6bbaf-3e2d-456a-88ef-c9655cecbc36,2026-06-05T15:56:58,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_775296
8e0aea22-b70f-4724-8f11-2e3c58491a2c,2026-06-05T15:56:58,auth-02,AUTH,LOGIN_SUCCESS,LOW,10.0.1.92,10.0.0.21,22,,200,service account login,sess_297688
6d3c10e4-2f95-45f4-8d40-8002378b6dc4,2026-06-05T15:56:59,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_726137
eb396da6-cdbb-46e7-9caf-c492a8b66519,2026-06-05T15:56:59,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.198,10.0.0.20,22,,200,service account login,sess_155271
6e954531-63c9-48d3-809b-4a9c5417900b,2026-06-05T15:57:00,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_806250
635067e2-57cc-40e5-acf5-3688aec02221,2026-06-05T15:57:00,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.33,10.0.0.31,8080,PATCH,200,metadata updated,sess_846769
b48892e6-b639-4fed-856e-0b46086f8931,2026-06-05T15:57:01,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_212929
0386daf0-c7f7-40f9-be6f-2b80634497b3,2026-06-05T15:57:01,web-01,WEB,PAGE_VISIT,LOW,10.0.1.171,10.0.0.10,443,POST,200,/dashboard,sess_398896
c569a44a-2bea-45d4-b150-7040ccc1a212,2026-06-05T15:57:02,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_794827
4509c985-1dbd-4cfb-bc8b-c72174924694,2026-06-05T15:57:02,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.167,10.0.0.1,443,,200,known route,sess_874881
172a6026-b8b2-4053-bee0-7dac663df479,2026-06-05T15:57:03,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_491510
5d56ed7b-dad6-4985-8cb5-1aa023f928d7,2026-06-05T15:57:03,web-01,WEB,PAGE_VISIT,LOW,10.0.1.216,10.0.0.10,443,GET,201,/static/app.js,sess_779161
e576a7be-1176-4b3b-8b29-e961e48d7c60,2026-06-05T15:57:04,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_941023
1b8cdc3e-c310-4f94-80de-2596e91c55d3,2026-06-05T15:57:04,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.40,10.0.0.30,8080,GET,201,inventory query,sess_961208
d53663be-e25c-4154-a00c-99e8a654d77d,2026-06-05T15:57:05,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_866969
55943ade-cc4b-4304-833c-ab913d5b0581,2026-06-05T15:57:05,auth-02,AUTH,LOGIN_SUCCESS,LOW,10.0.1.65,10.0.0.21,22,,200,service account login,sess_287312
593a9876-2783-426a-89b9-3a1853cbf67d,2026-06-05T15:57:06,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_145845
f99ae784-c3fe-45a8-90ea-9f5fb36ef165,2026-06-05T15:57:06,web-01,WEB,PAGE_VISIT,LOW,10.0.1.104,10.0.0.10,80,POST,301,/login,sess_536940
294191fa-e14a-4563-874c-dee8242a916b,2026-06-05T15:57:07,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_424974
5bad0fca-57c0-48a9-b6c3-5c81ca19abe7,2026-06-05T15:57:07,auth-01,AUTH,LOGIN_SUCCESS,LOW,10.0.1.210,10.0.0.20,22,,200,ssh key accepted,sess_825471
22735b87-17a4-4c6c-8b13-4dd4aaae4241,2026-06-05T15:57:08,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_523281
997283e2-e111-47af-abac-ad288960fb71,2026-06-05T15:57:08,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.64,10.0.0.30,8080,PUT,201,profile update,sess_590638
314aa165-14f3-4cd3-a9be-ed1948918a30,2026-06-05T15:57:09,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_327081
14b382fc-4a05-4178-ad47-7fd859ca9b5b,2026-06-05T15:57:09,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.187,10.0.0.31,8080,GET,204,inventory query,sess_722436
80fa3313-6246-4ab9-bb36-5fd45f2df15c,2026-06-05T15:57:10,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_432325
2d15575e-bc9a-44d9-8a06-43790f06fe8c,2026-06-05T15:57:10,app-01,APPLICATION,API_REQUEST,LOW,10.0.1.188,10.0.0.30,8080,POST,204,profile update,sess_242985
e819f817-debc-410c-90d9-30eafd7d3484,2026-06-05T15:57:11,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_540893
ad940cee-afa5-4150-b7a4-7b8c5b4644c6,2026-06-05T15:57:11,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.177,10.0.0.31,8080,PUT,200,profile update,sess_596040
a770ea4e-49d9-460a-a5cd-8d5b9740fe12,2026-06-05T15:57:12,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_388872
8c88fd8c-c253-43d1-9fff-47103138f4da,2026-06-05T15:57:12,fw-01,FIREWALL,ALLOWED_CONNECTION,LOW,10.0.1.200,10.0.0.1,80,,200,policy allow,sess_731665
96b4e5a1-946e-4c3f-bdd5-ed73c20e9ef9,2026-06-05T15:57:13,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_621055
af0cb4c5-a476-4d74-8797-2fdb2ba1f8c6,2026-06-05T15:57:13,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.86,10.0.0.31,8080,POST,200,profile update,sess_693619
934bbbf8-d876-4d86-8be8-889582c8de07,2026-06-05T15:57:14,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_790611
978c70bc-b8a4-4562-ac70-a6ce9158bb41,2026-06-05T15:57:14,web-02,WEB,PAGE_VISIT,LOW,10.0.1.220,10.0.0.11,80,GET,204,/api/health,sess_334375
d9da8958-d85d-4775-9d01-bfba550e1db1,2026-06-05T15:57:15,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_662052
8a4e2110-2978-475b-868c-3e2c7373c4f3,2026-06-05T15:57:15,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.164,10.0.0.31,8080,POST,200,preferences saved,sess_255281
2eb71b68-12bb-47de-b24a-eb080fe68b73,2026-06-05T15:57:16,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_742785
0d81fcd1-3943-4fa1-8499-ab685119252f,2026-06-05T15:57:16,app-02,APPLICATION,USER_UPDATE,LOW,10.0.1.124,10.0.0.31,8080,POST,204,preferences saved,sess_540216
45b26507-610a-49f6-b8d7-bbe81f8b683f,2026-06-05T15:57:17,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_882391
de64e365-9c68-4542-ac5d-8dc7fe8dd86c,2026-06-05T15:57:17,web-02,WEB,PAGE_VISIT,LOW,10.0.1.24,10.0.0.11,80,POST,200,/login,sess_121318
d839d9d1-ffa3-4bdc-a666-7ede5275b7c1,2026-06-05T15:57:18,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_235537
62840ce2-4eca-44b1-94f2-f519920a8509,2026-06-05T15:57:18,web-02,WEB,PAGE_VISIT,LOW,10.0.1.184,10.0.0.11,443,POST,200,/static/app.js,sess_129307
485c7684-0c04-48da-8d7c-9687ddc369c6,2026-06-05T15:57:19,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_752619
9f67262f-d8ec-4472-8b04-dfe8e4ff67a8,2026-06-05T15:57:19,app-02,APPLICATION,API_REQUEST,LOW,10.0.1.163,10.0.0.31,8080,PUT,204,orders lookup,sess_151584
47b61fe9-6303-4ee0-a326-69f9507ec050,2026-06-05T15:57:20,auth-01,AUTH,LOGIN_FAILED,HIGH,203.0.113.77,10.0.0.20,22,,401,invalid password,sess_636448
